"midparentHeight","gender","childHeight"
75.43,"male",73.2
73.66,"female",65.5
72.06,"male",71
72.06,"male",68.5
69.09,"female",66.5
73.72,"female",69.5
73.72,"male",76.5
72.91,"female",70.5
72.89,"female",66
72.37,"female",65.5
70.48,"female",67
69.94,"female",65
72.68,"female",62
72.68,"male",67
72.41,"female",66.7
71.6,"female",64.5
71.33,"male",74
71.06,"female",64
70.62,"female",62.7
73.61,"male",72.7
72.72,"male",73
72.18,"male",73
71.1,"male",74.2
71.37,"female",65.5
70.56,"female",66
70.02,"female",65
70.02,"male",67
70.02,"female",63
70.54,"female",67.2
69.48,"female",64
69.73,"male",70
69.48,"male",72
69.48,"male",72
68.94,"female",65.7
72.76,"male",74
71.68,"male",73
71.14,"female",66.5
71.14,"male",69
71.14,"female",67
71.14,"male",72
71.22,"male",70.5
70.87,"female",66
71.12,"male",73
70.85,"male",67.7
70.6,"male",68
70.06,"female",67.5
70.68,"male",72
70.06,"male",68
70.58,"male",70
70.33,"female",62
69.62,"female",67.5
69.79,"male",67
69.52,"female",63
69.52,"female",63.5
68.98,"female",61.5
68.98,"female",60
69.25,"female",64
68.98,"male",70
68.44,"female",62
66.82,"male",71.5
72.26,"female",69
72.26,"male",70
71.72,"male",75
71.18,"male",70
71.18,"female",67.5
70.91,"male",66.5
70.35,"male",68.5
70.35,"female",61.5
70.1,"male",70.5
70.1,"male",67
70.1,"female",65
70.1,"female",65.7
70.1,"female",65
70.1,"male",69
69.938,"female",66.5
69.56,"male",67
69.56,"male",70
69.668,"male",72
69.81,"female",65.5
70.08,"female",60
69.56,"female",62
69.56,"male",68.5
69.398,"female",63.7
69.27,"male",70
69.27,"female",64
69.29,"female",63.5
69.02,"male",68
69.02,"male",66.5
68.73,"female",65
69.008,"female",63.2
68.73,"male",72
67.94,"male",71.2
67.4,"male",64.5
67.4,"female",65
66.59,"female",63
66.32,"male",66
71.49,"female",66
70.68,"female",64
70.14,"male",72
70.14,"male",70
70.518,"male",68.5
70.14,"female",63
70.41,"male",71
70.66,"female",64.5
70.41,"female",66
70.39,"male",70.5
70.14,"male",73
69.6,"male",67
69.58,"male",69.7
69.16,"male",66.5
68.79,"female",65.5
68.52,"male",69
68.52,"male",72
68.52,"male",73
68.79,"female",61
68.79,"female",63
68.33,"female",62.5
68.23,"male",72
67.98,"male",71
68.23,"female",64.5
68.25,"female",62.5
67.98,"female",66
67.69,"female",62
67.44,"male",68
66.9,"female",68
66.9,"male",66
67.17,"male",69.5
72.42,"male",71
70.43,"female",67
70.16,"male",68.7
69.1,"male",67.5
69.37,"male",66
69.37,"male",70.7
69.1,"male",72
69.35,"female",61
68.56,"female",64
69.35,"male",72
68.56,"male",66
68.56,"male",69
68.83,"female",62
68.56,"female",66
68.02,"male",68
68.54,"male",69.5
68.02,"male",67
68.02,"female",64
68.02,"male",66
68.02,"female",64
68.54,"male",68.2
68.02,"male",70
68.39,"male",70
67.75,"male",68.5
67.83,"male",67.7
67.75,"male",66.5
66.94,"male",68
66.508,"male",66.7
66.4,"female",61
66.4,"male",67.5
66.11,"male",69
65.86,"male",64
69.248,"male",72.7
69.41,"male",71
69.14,"male",69
68.6,"female",65.5
68.87,"female",63
68.87,"female",60
68.6,"female",62
68.85,"female",62.5
68.06,"male",71.5
67.79,"male",65.5
67.52,"male",68
67.23,"male",69
66.44,"male",67
69.18,"male",66
69.18,"female",60
68.64,"male",66
68.64,"female",65
68.35,"female",60.5
68.37,"female",66
67.02,"male",70
67.29,"female",62
67.27,"male",67
67,"female",63.5
66.21,"male",70
65.4,"male",68
65.4,"male",65
64.86,"male",65.5
68.68,"female",65
68.68,"female",63
68.14,"female",63
68.14,"male",66
67.6,"female",65
67.87,"female",65.5
67.6,"male",69
67.06,"female",64
66.52,"female",63
66.52,"male",66
66.77,"female",63.5
65.15,"female",62
66.56,"female",65.5
66.56,"male",68
66.02,"male",64.5
64.4,"female",60
65.79,"female",68.5
66.64,"female",62
65.27,"female",57
